timestamp,Date and Hour,Date,StartHour,EndHour,Source,Production,dayOfYear,dayName,monthName,GHI,DNI,Wind_Speed_2m,Wind_Direction_2m,Temp_2m,RH_2m,Pressure,wind_speed_50m,wind_direction_50m,temp_50m,density_VT,pressure_VT,ri_number,rh_50m,rmol_VT
7/29/2020 5:00,2020-07-29 05:00:00+02:00,7/29/2020,5:00:00,6:00:00,Wind,1555,211,Wednesday,July,0,0,1.7,343,18.3,74.36,983,11.6,357,19.5,1.12,940.2,0.2,66.1,0.0012
6/11/2020 7:00,2020-06-11 07:00:00+02:00,6/11/2020,7:00:00,8:00:00,Solar,279,163,Thursday,June,243,97,1.5,22,14.1,76.91,973,4.7,56,4.5,1.06,846.3,0.2,100,-0.0041
7/18/2020 8:00,2020-07-18 08:00:00+02:00,7/18/2020,8:00:00,9:00:00,Wind,745,200,Saturday,July,508,767,4.4,3,21.4,53.8,982,15.2,4,14.6,1.14,938.4,-0.02,78.9,-0.0006
7/29/2020 12:00,2020-07-29 12:00:00+02:00,7/29/2020,12:00:00,13:00:00,Wind,203,211,Wednesday,July,894,869,2.2,357,30.5,35.71,983,8.3,19,23,1.11,941,-0.71,65,-0.008
6/12/2020 6:00,2020-06-12 06:00:00+02:00,6/12/2020,6:00:00,7:00:00,Solar,21,164,Friday,June,4,0,5.7,158,15.4,76.99,968,18.6,162,4.5,1.06,842,0.01,100,0.0001
10/4/2020 15:00,2020-10-04 15:00:00+02:00,10/4/2020,15:00:00,16:00:00,Solar,1558,278,Sunday,October,44,0,4.7,204,14.1,64.6,965,10,201,11.6,1.13,926.1,-0.27,79.8,-0.0034
7/18/2020 11:00,2020-07-18 11:00:00+02:00,7/18/2020,11:00:00,12:00:00,Wind,718,200,Saturday,July,896,896,4.6,4,26,36.83,982,13.2,15,18,1.12,938.6,-0.21,65.9,-0.0026
7/29/2020 13:00,2020-07-29 13:00:00+02:00,7/29/2020,13:00:00,14:00:00,Wind,201,211,Wednesday,July,883,866,2.1,182,31.3,33.94,982,7.9,23,23.7,1.1,941.1,-0.8,63.7,-0.0088
6/12/2020 12:00,2020-06-12 12:00:00+02:00,6/12/2020,12:00:00,13:00:00,Solar,2199,164,Friday,June,498,46,8.3,172,21.9,53.68,969,18.7,158,8.3,1.04,843.1,-0.12,100,-0.0023
10/4/2020 22:00,2020-10-04 22:00:00+02:00,10/4/2020,22:00:00,23:00:00,Solar,0,278,Sunday,October,0,0,1.6,209,8.4,90.26,969,5.8,238,8.3,1.15,927.5,0.35,82.2,0.0124
7/18/2020 12:00,2020-07-18 12:00:00+02:00,7/18/2020,12:00:00,13:00:00,Wind,732,200,Saturday,July,939,908,4.5,5,27,33.93,981,13.1,17,19,1.12,938.6,-0.2,60.2,-0.0028
7/29/2020 18:00,2020-07-29 18:00:00+02:00,7/29/2020,18:00:00,19:00:00,Wind,328,211,Wednesday,July,177,170,1.8,56,28.4,37.99,981,7,21,24.4,1.1,940.2,-0.15,66.7,-0.0035
6/12/2020 19:00,2020-06-12 19:00:00+02:00,6/12/2020,19:00:00,20:00:00,Solar,693,164,Friday,June,20,0,4.3,176,18,76.01,971,15.8,166,8.5,1.05,845.4,-0.07,100,-0.0011
7/18/2020 19:00,2020-07-18 19:00:00+02:00,7/18/2020,19:00:00,20:00:00,Wind,1069,200,Saturday,July,88,362,1.8,3,21.3,55.12,981,11.1,14,20.4,1.11,938.3,0.06,50.7,0.0005
7/30/2020 3:00,2020-07-30 03:00:00+02:00,7/30/2020,3:00:00,4:00:00,Wind,2239,212,Thursday,July,0,0,0.6,330,19.6,60.02,982,5.5,3,23.9,1.1,940.4,0.61,50.3,0.0105
6/13/2020 4:00,2020-06-13 04:00:00+02:00,6/13/2020,4:00:00,5:00:00,Solar,0,165,Saturday,June,0,0,1.5,178,13.2,90.13,973,11.9,176,6.4,1.06,847.6,0.05,100,0.0006
7/18/2020 20:00,2020-07-18 20:00:00+02:00,7/18/2020,20:00:00,21:00:00,Wind,1010,200,Saturday,July,0,0,1.4,178,19.1,62.24,981,17.1,2,14.1,1.14,938.2,0.06,80.6,0.0005
7/18/2020 20:00,2020-07-18 20:00:00+02:00,7/18/2020,20:00:00,21:00:00,Wind,1010,200,Saturday,July,0,0,1.4,178,19.1,62.24,981,11.2,9,20.3,1.11,938.3,0.14,49.4,0.0021
7/30/2020 12:00,2020-07-30 12:00:00+02:00,7/30/2020,12:00:00,13:00:00,Wind,730,212,Thursday,July,882,836,1.2,145,34.8,30.14,982,2.7,185,24.2,1.1,941.9,-84.31,70.7,-0.0459
6/13/2020 5:00,2020-06-13 05:00:00+02:00,6/13/2020,5:00:00,6:00:00,Solar,0,165,Saturday,June,37,3,1.8,178,14.5,85.03,974,11.4,177,6.3,1.06,847.8,0.06,100,0.0007
10/5/2020 8:00,2020-10-05 08:00:00+02:00,10/5/2020,8:00:00,9:00:00,Solar,168,279,Monday,October,5,0,3.5,187,9.7,84.1,973,3.2,225,6.9,1.16,932.6,0.69,89.2,0.1646
7/30/2020 18:00,2020-07-30 18:00:00+02:00,7/30/2020,18:00:00,19:00:00,Wind,904,212,Thursday,July,100,2,0.9,148,32.6,40.92,980,6.7,203,25.3,1.1,940.8,-0.41,80.2,-0.0044
6/13/2020 7:00,2020-06-13 07:00:00+02:00,6/13/2020,7:00:00,8:00:00,Solar,271,165,Saturday,June,7,0,2.2,190,17,81.5,975,10.1,180,6.6,1.06,848,0,100,-0.0011
10/5/2020 12:00,2020-10-05 12:00:00+02:00,10/5/2020,12:00:00,13:00:00,Solar,2168,279,Monday,October,224,11,4.1,223,15.7,56.78,974,4.2,201,7.9,1.16,934.4,-4.66,93.2,-0.0229
7/30/2020 23:00,2020-07-30 23:00:00+02:00,7/30/2020,23:00:00,24:00:00,Wind,4438,212,Thursday,July,0,0,2.4,186,25.2,60.93,981,7.1,237,22.7,1.11,940.8,0.66,73.2,0.0032
6/13/2020 10:00,2020-06-13 10:00:00+02:00,6/13/2020,10:00:00,11:00:00,Solar,1555,165,Saturday,June,640,379,2.8,211,18.2,79.66,976,12.6,174,6.5,1.06,847.2,0.04,100,0.0005
6/13/2020 10:00,2020-06-13 10:00:00+02:00,6/13/2020,10:00:00,11:00:00,Solar,1555,165,Saturday,June,640,379,2.8,211,18.2,79.66,976,9.3,194,9.3,1.05,848.7,-0.7,100,-0.0073
10/5/2020 15:00,2020-10-05 15:00:00+02:00,10/5/2020,15:00:00,16:00:00,Solar,1849,279,Monday,October,12,0,3.4,235,15.4,58.7,975,5.8,193,10.3,1.15,935.1,-2.15,91,-0.0106
7/19/2020 11:00,2020-07-19 11:00:00+02:00,7/19/2020,11:00:00,12:00:00,Wind,313,201,Sunday,July,904,917,1.9,20,27.9,35.58,981,5.9,16,19.4,1.12,939.6,-1.13,64,-0.015
7/31/2020 7:00,2020-07-31 07:00:00+02:00,7/31/2020,7:00:00,8:00:00,Wind,3907,213,Friday,July,284,587,2.7,177,27.5,49.31,982,5.6,226,22.2,1.11,941,0.54,57.6,0.0048
6/13/2020 14:00,2020-06-13 14:00:00+02:00,6/13/2020,14:00:00,15:00:00,Solar,2304,165,Saturday,June,262,3,1.8,223,18.7,71.84,977,5.6,240,12.1,1.04,849.8,-2.63,97.3,-0.0176
10/5/2020 18:00,2020-10-05 18:00:00+02:00,10/5/2020,18:00:00,19:00:00,Solar,295,279,Monday,October,0,0,1.6,219,11.7,81.21,977,2.1,162,11.3,1.15,936.2,0.4,88.4,0.2296
7/19/2020 14:00,2020-07-19 14:00:00+02:00,7/19/2020,14:00:00,15:00:00,Wind,377,201,Sunday,July,871,916,1.7,34,29.7,30.43,980,5.7,36,21.5,1.11,939.6,-1.62,57.8,-0.0165
7/31/2020 15:00,2020-07-31 15:00:00+02:00,7/31/2020,15:00:00,16:00:00,Wind,2444,213,Friday,July,694,776,2.7,163,37.7,24.58,979,6,234,26.4,1.09,940.3,-0.69,46.9,-0.0121
6/13/2020 16:00,2020-06-13 16:00:00+02:00,6/13/2020,16:00:00,17:00:00,Solar,2149,165,Saturday,June,404,184,0.7,189,18.2,73.08,978,6.6,294,11.5,1.04,850.8,-2.34,77.6,-0.0119
7/19/2020 16:00,2020-07-19 16:00:00+02:00,7/19/2020,16:00:00,17:00:00,Wind,582,201,Sunday,July,612,846,1.5,52,29.3,30.36,980,5.4,34,22.4,1.11,939.2,-1.2,52.6,-0.0139
7/31/2020 18:00,2020-07-31 18:00:00+02:00,7/31/2020,18:00:00,19:00:00,Wind,2475,213,Friday,July,201,446,1.5,172,33.1,35.13,978,5.2,224,25.7,1.1,939.8,-0.08,67.2,-0.0062
6/13/2020 17:00,2020-06-13 17:00:00+02:00,6/13/2020,17:00:00,18:00:00,Solar,1946,165,Saturday,June,261,37,0.4,156,17.8,77.16,978,7.2,307,11.1,1.04,851.2,-1.15,78.8,-0.0092
10/6/2020 3:00,2020-10-06 03:00:00+02:00,10/6/2020,3:00:00,4:00:00,Solar,0,280,Tuesday,October,0,0,2.1,181,8.4,90.81,979,4.2,222,7.9,1.16,938,0.34,94.9,0.1866
7/20/2020 4:00,2020-07-20 04:00:00+02:00,7/20/2020,4:00:00,5:00:00,Wind,2928,202,Monday,July,0,0,1,185,16.7,66.32,981,2.1,30,20,1.12,939.6,6.92,51.2,0.056
7/31/2020 19:00,2020-07-31 19:00:00+02:00,7/31/2020,19:00:00,20:00:00,Wind,1996,213,Friday,July,37,1,1.3,175,30,47.92,979,5.5,226,25.3,1.1,939.6,0.21,71.2,0.0004
6/13/2020 19:00,2020-06-13 19:00:00+02:00,6/13/2020,19:00:00,20:00:00,Solar,832,165,Saturday,June,4,0,0.4,68,15.9,88.94,979,7.6,327,10.2,1.05,852.2,-0.36,84.1,-0.0037
10/6/2020 13:00,2020-10-06 13:00:00+02:00,10/6/2020,13:00:00,14:00:00,Solar,1053,280,Tuesday,October,129,2,5.1,183,14.6,80.18,977,8.2,196,9.7,1.16,938.3,-1.29,100,-0.0068
7/20/2020 5:00,2020-07-20 05:00:00+02:00,7/20/2020,5:00:00,6:00:00,Wind,3054,202,Monday,July,20,154,1.1,185,18,62.17,981,1.3,31,19.6,1.12,939.7,13.03,53.7,0.088
7/1/2020 5:00,2020-07-01 05:00:00+02:00,7/1/2020,5:00:00,6:00:00,Solar,0,183,Wednesday,July,27,0,1,223,18.5,79.23,977,8.2,219,15.5,1.03,852.6,0.53,79.7,0.0024
7/1/2020 5:00,2020-07-01 05:00:00+02:00,7/1/2020,5:00:00,6:00:00,Solar,0,183,Wednesday,July,27,0,1,223,18.5,79.23,977,11,331,19.2,1.12,937.2,0.18,46.3,0.0027
6/13/2020 21:00,2020-06-13 21:00:00+02:00,6/13/2020,21:00:00,22:00:00,Solar,28,165,Saturday,June,0,0,0.5,198,14.4,86.74,980,6.9,322,8.7,1.05,852.7,-0.03,91.4,0.0006
10/6/2020 23:00,2020-10-06 23:00:00+02:00,10/6/2020,23:00:00,24:00:00,Solar,0,280,Tuesday,October,0,0,1.3,269,11.1,90.61,979,3.3,245,11.8,1.15,937.2,0.33,100,0.172
7/20/2020 7:00,2020-07-20 07:00:00+02:00,7/20/2020,7:00:00,8:00:00,Wind,2880,202,Monday,July,328,696,1.9,176,23.5,46.15,982,1.1,232,19,1.12,939.8,6.38,56.3,0.0291
7/1/2020 6:00,2020-07-01 06:00:00+02:00,7/1/2020,6:00:00,7:00:00,Solar,33,183,Wednesday,July,183,547,1.7,221,20.8,69.61,977,8,224,15.6,1.03,852.5,0.47,77.6,0.0021
